9-Feb-16	Time from Start (hours)	Observed Gravity (mGal)	Standard Deviation	Earth-Tide Correction	Level Correction
21:18	21.3	2590.499	0.0114	-0.005	0.005
21:25	21.41666667	2590.48	0.0113	-0.0117	0
21:31	21.51666667	2590.495	0.0057	-0.0168	0.001
10-Feb-16					
17:52	41.86666667	2590.405	0.0079	0.0801	0.002
17:57	41.95	2590.402	0.007	0.0827	0.003
18:01	42.01666667	2590.397	0.0092	0.0853	0.005
18:05	42.08333333	2590.395	0.0077	0.0871	0.006
11-Feb-16					
22:09	70.15	2590.365	0.0065	0.0508	0.001
22:14	70.23333333	2590.36	0.0035	0.0471	0
22:16	70.26666667	2590.358	0.0093	0.0453	0
22:19	70.31666667	2590.355	0.0082	0.0435	0
12-Feb-16					
23:46	95.76666667	2590.334	0.0041	0.028	0.002
23:48	95.8	2590.326	0.0099	0.0281	0.002
23:51	95.85	2590.335	0.0027	0.0265	0.002
13-Feb-16					
20:37	116.6166667	2590.291	0.0082	0.0946	0.001
20:43	116.7166667	2590.287	0.0059	0.0969	0.001
20:47	116.7833333	2590.281	0.004	0.0982	0.001
14-Feb-16					
20:36	140.6	2590.383	0.0062	0.0888	0.003
20:39	140.65	2590.377	0.0044	0.09	0.001
20:42	140.7	2590.369	0.0073	0.0912	0.001
15-Feb-16					
19:36	163.6	2590.517	0.004	-0.0126	0
19:37	163.6166667	2590.514	0.0029	-0.0122	0
19:39	163.65	2590.515	0.0065	-0.011	0
16-Feb-16					
19:35	187.5833333	2590.638	0.0074	-0.0414	0.001
19:38	187.6333333	2590.634	0.004	-0.0407	0.003
19:41	187.6833333	2590.634	0.0047	-0.04	0.006
19:49	187.8166667	2603.081	0.004	0.0378	0.003
19:51	187.85	2603.083	0.0096	0.0375	0.005
19:51	187.85	2603.083	0.0109	0.0373	0.006
19:52	187.8666667	2603.086	0.0171	0.037	0.006
17-Feb-16					
20:50	212.8333333	2603.05	0.0024	-0.0477	0.001
20:54	212.9	2603.05	0.0055	-0.0465	0
20:58	212.9666667	2603.047	0.0047	-0.0453	0.001
