#sourcecode,latnad27,lonnad27,elevngvd29m,obsgrvless976000mg,itc,otc,faanom,cbanom267,latnad83,lonnad83,elevngvd88m
774865,41.597,-121.99866,1420.5,3868.06,0.23,2.46,-5.73,-163.43,41.5968751,-121.9997767,1421.75
2773  61,41.776669,-121.9985,1298.2,3906.14,0,0.54,-21.5,-167.6,41.776541,-121.9996178,1299.37
2720 ngs,41.769669,-121.99834,1299,3905.8,0,0.57,-20.97,-167.12,41.7695411,-121.9994578,1300.17
27200692,41.769669,-121.99834,1299,3905.79,0,0.57,-20.98,-167.13,41.7695411,-121.9994578,1300.17
2773 ngs,41.776669,-121.99834,1298.2,3906.1,0,0.54,-21.54,-167.64,41.776541,-121.9994578,1299.37
5675  14,41.737667,-121.99817,1317.9,3902.32,0.04,0.87,-15.74,-163.68,41.7375397,-121.9992876,1319.07
2773 ngs,41.755833,-121.99717,1305.8,3904.8,0.02,0.65,-18.63,-165.45,41.7557054,-121.9982877,1306.97
2773 252,41.756001,-121.99717,1305.8,3904.78,0.02,0.65,-18.66,-165.48,41.7558734,-121.9982877,1306.97
2713 ngs,41.766335,-121.99667,1300.3,3905.5,0,0.58,-20.57,-166.86,41.7662072,-121.9977877,1301.47
27130096,41.766335,-121.99667,1300.3,3905.48,0,0.58,-20.59,-166.88,41.7662072,-121.9977877,1301.47
774895,41.449165,-121.9965,1741.2,3785.06,1.43,4.22,23.4,-167.35,41.4490428,-121.997615,1742.48
27130091,41.894669,-121.995,1292,3924.64,0.01,0.29,-15.53,-161.16,41.8945388,-121.9961185,1293.15
27130624,41.918835,-121.995,1292.4,3929.03,0.03,0.28,-13.19,-158.86,41.9187043,-121.9961186,1293.55
5675   7,41.966667,-121.995,1293.8,3943.79,0.05,0.37,-2.3,-148.02,41.9665354,-121.9961189,1294.95
27130580,41.391335,-121.995,1280.2,3879.5,0.46,2.8,-19.08,-160.43,41.3912139,-121.9961137,1281.38
