#sourcecode,latnad27,lonnad27,elevngvd29m,obsgrvless976000mg,itc,otc,faanom,cbanom267,latnad83,lonnad83,elevngvd88m
22301292,42.940498,-122.99983,296.6,4296.05,1.31,3.49,-45.3,-74.1,42.9403404,-123.0009969,297.65
22301455,42.539001,-122.99767,588.6,4208.35,0.46,1.32,-6.73,-71.58,42.5388464,-122.9988298,589.63
3252 ngs,41.455666,-122.99617,2155.2,3768.1,7.92,17.71,133.45,-83.7,41.455526,-122.9973168,2156.33
32520209,41.455666,-122.99617,2155.2,3768.06,7.92,17.71,133.41,-83.74,41.455526,-122.9973168,2156.33
22301352,42.810665,-122.99583,724.5,4204.96,0.41,2.49,7.29,-71.79,42.8105096,-122.9969964,725.59
27200582,41.824501,-122.99567,490.7,4091.1,1.03,6.02,-89.84,-138.35,41.8243549,-122.9968192,491.7
2531 ngs,42.181835,-122.99567,513,4177.9,2.78,3.28,-28.31,-80.34,42.1816831,-122.9968227,514
2531 131,42.181999,-122.99567,513,4177.94,2.68,3.28,-28.29,-80.42,42.181847,-122.9968227,514
3317G864,41.005501,-122.994,1677.6,3815.71,4.52,10.41,74.24,-100.09,41.0053642,-122.9951442,1678.75
3317 ngs,41.005333,-122.99384,1677.6,3815.71,4.51,10.39,74.25,-100.11,41.0051962,-122.9949842,1678.75
2720 ngs,41.395332,-122.99316,1816,3833.4,2.33,6.67,99.63,-96.16,41.3951929,-122.9943069,1817.11
27200542,41.395332,-122.99316,1816,3833.39,2.33,6.67,99.62,-96.17,41.3951929,-122.9943069,1817.11
22301454,42.505669,-122.993,411.8,4246.49,0.03,1.01,-20.11,-65.71,42.5055144,-122.9941585,412.81
22302075,42.976665,-122.99284,403.6,4272.81,0.67,2.66,-38.8,-81.19,42.9765068,-122.9940067,404.66
3252 ngs,41.205166,-122.99033,2250,3704.3,7.52,21.25,121.35,-103.27,41.205029,-122.9914767,2251.11
32520203,41.205166,-122.99033,2250,3704.3,7.52,21.25,121.35,-103.27,41.205029,-122.9914767,2251.11
22301362,42.723335,-122.98933,1263.1,4095.6,1.46,4.51,71.88,-64.84,42.7231806,-122.9904951,1264.2
32520388,41.679668,-122.9885,1514.5,3894.64,2.58,7.77,42.4,-118.2,41.6795246,-122.9896473,1515.54
2531 ngs,42.098667,-122.98833,822,4101.8,0.57,3.4,-1.64,-90.65,42.0985162,-122.9894824,823.03
2531 133,42.098667,-122.98833,822,4101.81,0.57,3.4,-1.63,-90.64,42.0985162,-122.9894824,823.03
3252 ngs,41.679668,-122.98833,1514.5,3894.6,2.56,7.77,42.36,-118.26,41.6795246,-122.9894773,1515.54
2713 ngs,41.400333,-122.98833,1674,3864.8,0.98,4.82,86.81,-96.25,41.4001938,-122.9894768,1675.11
27130771,41.400501,-122.98833,1674,3864.82,0.95,4.83,86.82,-96.26,41.4003618,-122.9894768,1675.11
22301456,42.555832,-122.98683,780.3,4174.81,0.2,1.33,17.33,-69.42,42.5556775,-122.9879899,781.33
2713 ngs,41.638332,-122.98666,811.7,4039.9,0.16,4.31,-25.32,-112.67,41.6381893,-122.987807,812.71
27130881,41.6385,-122.98666,811.7,4039.93,0.16,4.32,-25.3,-112.64,41.6383573,-122.987807,812.71
22301314,42.872166,-122.98317,839.7,4187.32,0.94,1.83,19.62,-72.59,42.8720095,-122.9843361,840.78
3252 ngs,41.638168,-122.98133,811.6,4039.8,0.31,3.98,-25.43,-112.95,41.6380254,-122.9824769,812.61
32520389,41.638168,-122.98133,811.6,4039.78,0.31,3.98,-25.45,-112.97,41.6380254,-122.9824769,812.61
22301293,42.930332,-122.97984,305.4,4291.41,2.36,3.94,-46.31,-74.61,42.9301745,-122.9810061,306.46
2713 ngs,41.581833,-122.97667,883.3,4029.21,0.11,3.81,-8.85,-104.83,41.5816914,-122.9778165,884.32
27130880,41.581833,-122.97667,883.3,4029.23,0.11,3.81,-8.83,-104.81,41.5816914,-122.9778165,884.32
2713 ngs,41.600334,-122.97667,862,4035.8,0.01,3.45,-10.49,-104.53,41.6001921,-122.9778166,863.01
27130732,41.600334,-122.97667,862,4035.81,0.01,3.45,-10.48,-104.52,41.6001921,-122.9778166,863.01
32520385,41.523499,-122.973,972,4001.54,2.18,6.56,-3.93,-105.09,41.5233585,-122.9741462,973.06
3252 ngs,41.523335,-122.97283,972,4001.5,2.13,6.57,-3.96,-105.16,41.5231945,-122.9739762,973.06
3252 ngs,41.555832,-122.97283,932,4016.4,0.19,3.98,-4.31,-105.53,41.5556909,-122.9739763,933.03
3317 ngs,41.001335,-122.97283,1512.4,3841.8,3.67,13.56,49.78,-103.7,41.0011985,-122.9739733,1513.54
2713 ngs,41.556168,-122.97166,932.4,4016.5,0.12,3.79,-4.12,-105.64,41.5560269,-122.9728063,933.43
27130879,41.556168,-122.97166,932.4,4016.46,0.12,3.79,-4.16,-105.68,41.5560269,-122.9728063,933.43
3252 ngs,41.379333,-122.97166,2182.6,3737.5,4.44,16.99,118.15,-106.27,41.3791944,-122.9728063,2183.71
32520206,41.379333,-122.97166,2182.6,3737.46,4.44,16.99,118.11,-106.31,41.3791944,-122.9728063,2183.71
22301353,42.826668,-122.97134,957.4,4160.32,0.88,1.97,33.02,-72.39,42.8265123,-122.9725054,958.49
3252 ngs,41.932835,-122.97034,2022,3813.9,1.14,11.95,95.32,-119.47,41.9326868,-122.9714905,2023.16
32520201,41.090832,-122.97,2384.1,3661.57,10.9,29.37,130.19,-97.91,41.0906955,-122.9711444,2385.2
3252 ngs,41.090832,-122.96983,2384.1,3661.6,10.86,29.31,130.22,-97.98,41.0906955,-122.9709744,2385.2
2720 ngs,41.415833,-122.96917,1397.3,3902.1,1.29,6.2,37.42,-112.86,41.4156938,-122.9703161,1398.41
27200541,41.416,-122.96917,1397.3,3902.1,1.32,6.17,37.41,-112.88,41.4158608,-122.9703161,1398.41
4058 161,42.314499,-122.9665,474.8,4210.94,0.14,1.52,-19,-71.11,42.3143462,-122.9676533,475.82
4058 ngs,42.314335,-122.96633,474.8,4210.9,0.14,1.51,-19.03,-71.15,42.3141822,-122.9674832,475.82
22301482,42.516834,-122.96467,524,4222.21,0.24,0.64,-10.79,-69.24,42.5166797,-122.9658279,525.01
22301457,42.590332,-122.96367,509.6,4227.41,0.62,1.22,-16.66,-72.52,42.5901778,-122.96483,510.62
22301361,42.743999,-122.96333,1392,4061.16,4.03,8.24,75.31,-69.6,42.7438448,-122.9644946,1393.11
2713 ngs,41.821835,-122.96167,506.9,4089,1.47,7.59,-86.7,-135.04,41.8216895,-122.9628182,507.92
27130846,41.821999,-122.96167,506.9,4089.04,1.44,7.56,-86.68,-135.08,41.8218535,-122.9628182,507.92
2713 ngs,41.624168,-122.96167,821.4,4039.71,0.27,2.77,-21.24,-111.12,41.6240259,-122.9628163,822.41
27130733,41.624168,-122.96167,821.4,4039.73,0.27,2.77,-21.22,-111.1,41.6240259,-122.9628163,822.41
2713 ngs,41.422668,-122.96167,1282,3921.6,1.85,7.12,20.76,-115.08,41.4225288,-122.9628159,1283.1
27130770,41.422668,-122.96167,1282,3921.6,1.85,7.12,20.76,-115.08,41.4225288,-122.9628159,1283.1
22301189,42.928501,-122.95467,313.6,4291.25,1.49,3.95,-43.77,-73.86,42.9283434,-122.9558352,314.67
22302077,42.975502,-122.954,915,4170.41,0.52,3.69,16.6,-82.66,42.9753435,-122.9551654,916.08
22301323,42.578667,-122.95383,548,4221.86,0.02,0.69,-9.31,-70.65,42.5785129,-122.9549893,549.02
5675 ngs,41.313999,-122.95233,2364.6,3673.8,10.28,21.05,116.4,-118.46,41.3138618,-122.9534757,2365.79
22301458,42.608166,-122.952,525.5,4222.87,0.48,1.74,-17.9,-75.18,42.6080119,-122.9531601,526.52
2713 ngs,41.573002,-122.95167,894.3,4025.6,0.2,2.41,-8.28,-106.81,41.5728609,-122.9528159,895.32
27130731,41.573166,-122.95167,894.3,4025.56,0.2,2.42,-8.33,-106.85,41.5730249,-122.9528159,895.32
3252 ngs,41.775833,-122.95067,1674.2,3845.6,7.72,19.42,33.94,-127.8,41.7756888,-122.951817,1675.24
32520026,41.775833,-122.95067,1674.2,3845.56,7.72,19.42,33.9,-127.84,41.7756888,-122.951817,1675.24
22301460,42.641998,-122.9505,562.7,4216.5,1.17,2.26,-15.85,-76.13,42.6418439,-122.951661,563.74
32520200,41.152168,-122.9505,2337.8,3682.31,7.32,17.33,131.17,-107.38,41.1520318,-122.9516444,2338.96
3252 ngs,41.152168,-122.95033,2337.8,3682.3,7.74,17.34,131.16,-106.96,41.1520318,-122.9514744,2338.96
4058 160,42.308167,-122.949,495.4,4206.42,0.2,1.22,-16.6,-71.28,42.3080145,-122.9501525,496.42
4058 ngs,42.308167,-122.94884,495.4,4206.4,0.2,1.22,-16.62,-71.3,42.3080145,-122.9499925,496.42
22302076,42.953999,-122.94833,717.5,4211.53,2.35,2,-1.23,-78.07,42.9538409,-122.9494951,718.57
22301459,42.625332,-122.94633,555.3,4216.64,0.18,1.96,-16.49,-77.22,42.6251779,-122.9474904,556.33
2713 ngs,41.428333,-122.94167,1100,3954.4,3.07,9.26,-3.06,-115.05,41.4281939,-122.9428153,1101.08
27130769,41.428333,-122.94167,1100,3954.39,3.07,9.26,-3.07,-115.06,41.4281939,-122.9428153,1101.08
22301462,42.670834,-122.94167,707.4,4194.28,0.25,1.16,3.95,-74.69,42.67068,-122.9428315,708.46
2531 118,42.404999,-122.94,367.8,4239.14,0,0.56,-31.96,-73.06,42.4048456,-122.9411544,368.8
22301360,42.763832,-122.93983,1313.1,4081.35,0.89,4.67,69.39,-73.36,42.7636776,-122.9409938,1314.21
2531 ngs,42.404835,-122.93983,367.8,4239.1,0,0.56,-31.98,-73.09,42.4046816,-122.9409844,368.8
32520051,41.907665,-122.9395,2065.6,3797.72,2.33,17.45,94.84,-118.14,41.9075178,-122.940649,2066.73
3252 ngs,41.907665,-122.93933,2065.6,3797.71,2.33,17.46,94.83,-118.14,41.9075178,-122.940479,2066.73
22301354,42.788002,-122.93867,1153.1,4118.16,0.52,2.59,54.69,-72.51,42.7878472,-122.9398339,1154.21
27200540,41.428333,-122.9385,1100.1,3954.39,2.16,8.62,-3.04,-116.59,41.428194,-122.9396452,1101.17
