sourcecode,latnad27,lonnad27,elevngvd29m,obsgrvless976000mg,itc,otc,faanom,cbanom267,latnad83,lonnad83,elevngvd88m
5675 ngs,41.632332,-121.79967,1502,3857.78,0.12,1.38,5.94,-162.11,41.6322069,-121.8007816,1503.2
2713 ngs,41.632332,-121.79667,1502.1,3857.71,0.16,1.41,5.9,-162.09,41.6322069,-121.7977815,1503.3
5675 ngs,41.630001,-121.78983,1571.8,3846.79,0.76,1.32,16.67,-158.63,41.629876,-121.7909413,1573
5675 ngs,41.512501,-121.78584,1787.9,3783.6,0.3,2.01,30.65,-168.68,41.5123795,-121.7869516,1789.14
2713 ngs,41.512333,-121.78333,1788,3783.5,0.53,2.02,30.59,-168.5,41.5122115,-121.7844415,1789.24
2713 ngs,41.636333,-121.77333,1403.6,3878,7.82,2.78,-4.54,-152.42,41.6362079,-121.7744409,1404.78
5675 266,41.558834,-121.7725,1832.7,3785.08,0.32,2.03,41.78,-162.54,41.5587112,-121.7736111,1833.96
2713 ngs,41.629833,-121.77167,1571.9,3846.71,0.05,1.26,16.64,-159.45,41.6297081,-121.7727808,1573.09
2713 ngs,41.558834,-121.76984,1832.8,3785.9,0.79,2.06,42.63,-161.2,41.5587112,-121.770951,1834.06
2713 ngs,41.594833,-121.76833,1676.7,3823.6,0.51,1.88,28.98,-157.79,41.5947091,-121.7694409,1677.92
27130362,41.594833,-121.76833,1676.7,3823.64,0.51,1.88,29.02,-157.75,41.5947091,-121.7694409,1677.92
27130240,41.573334,-121.76334,1803.5,3803.64,0.22,1.91,50.03,-151.22,41.5732108,-121.7644508,1804.74
2713 ngs,41.690166,-121.75333,1456.3,3871.3,0.05,0.95,0.17,-163.24,41.6900392,-121.7544401,1457.46
27130262,41.690166,-121.75333,1456.3,3871.32,0.05,0.95,0.19,-163.22,41.6900392,-121.7544401,1457.46
2713 ngs,41.637669,-121.74667,1403,3875.5,8.6,3.19,-7.34,-153.97,41.6375463,-121.7477801,1404.17
27130369,41.512001,-121.74,1704.1,3806.71,0.2,1.57,27.97,-162.49,41.5118801,-121.7411105,1705.32
2713 ngs,41.511833,-121.73983,1704.1,3806.71,0.21,1.57,27.99,-162.47,41.5117121,-121.7409405,1705.32
27130263,41.672001,-121.735,1485.3,3865.56,0.01,0.88,5.01,-161.77,41.6718779,-121.7361097,1486.47
2713 ngs,41.671833,-121.73483,1485.3,3865.6,0.01,0.88,5.06,-161.72,41.6717099,-121.7359397,1486.47
6349 ngs,41.679501,-121.73466,1475.6,3870.68,0.03,0.82,6.46,-159.27,41.6793778,-121.7357696,1476.77
6349 ngs,41.652,-121.734,1526.8,3861.08,0.03,1.09,15.12,-156.1,41.6518772,-121.7351097,1527.97
6349 ngs,41.674835,-121.734,1486.9,3868.46,0.02,0.85,8.14,-158.84,41.6747119,-121.7351096,1488.07
2713 ngs,41.646835,-121.73333,1538.3,3856.1,0.17,1.17,14.15,-158.14,41.6467123,-121.7344397,1539.47
27130189,41.646999,-121.73333,1538.3,3856.08,0.17,1.16,14.11,-158.18,41.6468763,-121.7344397,1539.47
6349 ngs,41.656166,-121.73333,1518.9,3864.73,0.01,1.03,15.96,-154.45,41.6560431,-121.7344397,1520.07
6349 ngs,41.6665,-121.73333,1496.2,3865.12,0.02,0.93,8.42,-159.52,41.666377,-121.7344397,1497.37
6349 ngs,41.670666,-121.73333,1487.5,3865.71,0.02,0.9,5.95,-161.04,41.6705429,-121.7344396,1488.67
6349 ngs,41.661999,-121.73317,1500.9,3863.85,0.02,0.98,9,-159.42,41.661876,-121.7342797,1502.07
6349 ngs,41.636833,-121.73283,1600.8,3846.69,0.08,1.22,24.9,-154.44,41.6367104,-121.7339398,1601.98
6349AV04,41.683334,-121.73283,1461.4,3871.43,0.01,0.81,2.49,-161.67,41.6832107,-121.7339396,1462.57
2773 ngs,41.647335,-121.73233,1538.2,3856.6,0.11,1.17,14.57,-157.76,41.6472123,-121.7334397,1539.37
2773  90,41.647499,-121.73233,1538.2,3856.61,0.11,1.16,14.56,-157.78,41.6473763,-121.7334397,1539.37
6349 ngs,41.646999,-121.732,1539.8,3859.29,0.11,1.17,17.78,-154.73,41.6468763,-121.7331097,1540.97
6349AV15,41.631668,-121.73183,1616.8,3844.14,0.17,1.27,27.75,-153.25,41.6315455,-121.7329398,1617.99
2713 ngs,41.626667,-121.73167,1628.9,3839.6,0.1,1.32,27.38,-154.99,41.6265446,-121.7327798,1630.09
27130243,41.626667,-121.73167,1628.9,3839.64,0.1,1.32,27.42,-154.95,41.6265446,-121.7327798,1630.09
2713 ngs,41.689167,-121.73167,1454.2,3871.5,0.04,0.77,-0.18,-163.55,41.6890437,-121.7327795,1455.37
27130188,41.689167,-121.73167,1454.2,3871.51,0.04,0.77,-0.17,-163.54,41.6890437,-121.7327795,1455.37
6349AV16,41.627834,-121.73116,1626.5,3842.03,0.13,1.31,28.97,-153.12,41.6277115,-121.7322697,1627.69
6349AV03,41.6875,-121.73083,1455.6,3871.31,0.02,0.79,0.21,-163.32,41.6873767,-121.7319395,1456.77
6349 ngs,41.612335,-121.73067,1705.7,3823.86,0.07,1.48,36.6,-154.26,41.6122128,-121.7317798,1706.91
27130242,41.613499,-121.73,1701.4,3824.46,0.1,1.47,35.77,-154.59,41.6133768,-121.7311098,1702.61
2713 ngs,41.613335,-121.72984,1701.4,3824.4,0.09,1.47,35.73,-154.64,41.6132128,-121.7309498,1702.61
6349AV21,41.607834,-121.72916,1708.2,3823.56,0.01,1.53,37.48,-153.68,41.6077119,-121.7302698,1709.41
6349AV18,41.618999,-121.72767,1664.4,3837.6,0.04,1.42,37.02,-149.31,41.6188767,-121.7287797,1665.6
6349 ngs,41.691334,-121.72767,1459.1,3872.22,0.01,0.76,1.85,-162.1,41.6912107,-121.7287794,1460.26
6349 ngs,41.6035,-121.72717,1711.3,3823.37,0.06,1.62,38.63,-152.73,41.6033779,-121.7282797,1712.52
6349AV19,41.615166,-121.72717,1687.6,3833.18,0.04,1.46,40.09,-148.79,41.6150438,-121.7282797,1688.81
6349 ngs,41.602001,-121.72483,1719.7,3820.43,0.05,1.67,38.42,-153.85,41.601879,-121.7259397,1720.92
2713 ngs,41.601833,-121.72334,1723.6,3820.21,0.05,1.69,39.42,-153.27,41.601711,-121.7244496,1724.82
27130241,41.601833,-121.72334,1723.6,3820.16,0.05,1.69,39.37,-153.32,41.601711,-121.7244496,1724.82
6349 ngs,41.622501,-121.723,1643,3840.42,0.28,1.44,32.93,-150.74,41.6223787,-121.7241095,1644.2
6349 ngs,41.601002,-121.7225,1725.6,3821.62,0.07,1.73,41.52,-151.33,41.60088,-121.7236096,1726.82
6349 ngs,41.695,-121.72234,1456.7,3873.07,0.01,0.74,1.63,-162.07,41.6948766,-121.7234493,1457.86
6349 ngs,41.599998,-121.71933,1740,3817.85,0.09,1.78,42.28,-152.12,41.599876,-121.7204395,1741.22
6349AV26,41.597168,-121.71584,1764.3,3813.54,0.1,1.89,45.71,-151.29,41.5970461,-121.7169494,1765.53
6349AV27,41.591335,-121.7135,1799.7,3804.96,0.21,2.1,48.56,-152.09,41.5912132,-121.7146094,1800.93
6349AV30,41.579666,-121.713,1910.7,3781.14,0.27,2.44,60,-152.69,41.5795444,-121.7141094,1911.93
6349 ngs,41.576168,-121.71233,1947,3775.33,0.05,2.64,65.7,-151.09,41.5760465,-121.7134394,1948.24
6349 ngs,41.584,-121.7115,1866,3790.1,0.47,2.26,54.8,-152.87,41.5838783,-121.7126093,1867.23
6349AV28,41.587666,-121.71083,1831.3,3797.72,0.38,2.19,51.39,-152.54,41.5875443,-121.7119393,1832.53
5675 ngs,41.506332,-121.7105,1626.7,3823.91,0.11,1.44,21.83,-160.17,41.5062115,-121.7116095,1627.9
2720 ngs,41.506168,-121.71017,1626.8,3824,0.1,1.43,21.96,-160.07,41.5060475,-121.7112795,1628
27200764,41.506168,-121.71017,1626.8,3823.99,0.1,1.43,21.95,-160.08,41.5060475,-121.7112795,1628
2773 ngs,41.514832,-121.70917,1695.4,3813.3,0.15,1.52,31.63,-157.96,41.5147114,-121.7102795,1696.6
2773 92A,41.514832,-121.70917,1695.4,3813.32,0.15,1.52,31.65,-157.94,41.5147114,-121.7102795,1696.6
77482017,41.591667,-121.70917,1770.6,3812.64,1.09,2.21,47.25,-149.15,41.5915453,-121.7102792,1771.83
2713 ngs,41.506332,-121.70834,1626.7,3823.8,0.12,1.43,21.72,-160.28,41.5062115,-121.7094495,1627.9
27130365,41.506332,-121.70834,1626.7,3823.85,0.12,1.43,21.77,-160.23,41.5062115,-121.7094495,1627.9
77480017,41.573166,-121.70817,1939.5,3775.44,0.08,2.5,63.76,-152.29,41.5730445,-121.7092793,1940.74
6349 ngs,41.574501,-121.708,1949.9,3773.15,0.02,2.59,64.56,-152.63,41.5743795,-121.7091093,1951.14
5675 ngs,41.571835,-121.7075,1936.7,3776.01,0.09,2.47,63.59,-152.17,41.5717136,-121.7086093,1937.94
2720 ngs,41.571835,-121.70734,1936.5,3775.9,0.1,2.47,63.42,-152.31,41.5717136,-121.7084493,1937.74
27200766,41.571835,-121.70734,1936.5,3775.89,0.1,2.47,63.41,-152.32,41.5717136,-121.7084493,1937.74
2773 ngs,41.573334,-121.70683,1938.7,3775.9,0.09,2.49,63.96,-152,41.5732125,-121.7079392,1939.94
