STATE,ORIG_LABEL,MAP_SYM1,MAP_SYM2,UNIT_LINK,PROV_NO,PROVINCE,UNIT_NAME,UNIT_AGE,UNITDESC,STRAT_UNIT,UNIT_COM,MAP_REF,ROCKTYPE1,ROCKTYPE2,ROCKTYPE3,UNIT_REF
WA,bi,bi,bi;0,WAbi;0,0,,"Basic intrusive rocks, undivided",Jurassic in central Cascades; Oligocene to Eocene in northern Cascades,Predominantly gabbro; includes some serpentine.  Age undetermined.,Ingalls Tectonic Complex (in part),"Diabase (diorite) outcrop in central Cascades (Foster, 1960, Tabor and others, 1982, Dragovich and others, 2002); diorite, including quartz diorite, in Whatcom and Snokomish Counties (Dragovich and others, 2002).  Much of the gabbro in central Washington is uralitized (Southwick, 1974).",WA001,gabbro,diorite,serpentinite,WA001WA040WA059WA060WA075
WA,PM,C,C;0,WAC;0,0,,Carboniferous rocks,Late Devonian to Mississippian,"Thin-bedded graywacke, shale, argillite, slate, schist, volcanic breccia, gritstone, conglomerate, and limestone on northeast shore of Orcas Island.  Limestone or dolomitic limestone, apparently interbedded with limy argillite and graywacke, forms belt of small separate outcrops between Springdale and Valley in southeastern Stevens County.  Late Devonian to Early Pennsylvanian in age.",East Sound Group (in part),"Brandon and others, 1988, maps the outcrop on Orcas Island as the East Sound Group (see also WAD), which is primarily andesitic to dacitic pyroclastic rocks, with rare lava flows, as well as minor limestone; he specifically distinguishes this rock group from the Deadman Bay Terrane which includes chert as well as basalt and limestone.  May include incidental Turtleback Complex (see WApPMg and WApTm).  The series of outcrops in Stevens County are composed of metalimestone, metadolomite, metaconglomerate, meta-argillite, metasiltstone, and metachert (Stoffel and others, 1991)",WA001,graywacke,shale,argillite; carbonate; schist; pyroclastic; conglomerate,WA001WA023WA029WA078
WA,Cls,CAls,CAls;0,WACAls;0,0,,Cambrian limestone and dolomite,Early Cambrian-Middle Ordovician,"Mostly massive dolomite, with a basal unit of gray to dark-gray limestone interbedded with limy shale, and an upper unit of fine-grained massive limestone with some marble; Pend Oreille and northern and central Stevens Counties.  Three-fold division less evident in Colville area.  Dolomite, with minor basal unit of interbedded limestone and phyllite in the Addy-Dunn Mountain area of Stevens County.  Marble, dolomite, limestone, and limy slate in Hunters' district.  Dolomitic marble in southern Stevens and northern Lincoln Counties.  Middle Cambrian fossils near base in Metaline district, and Bathyuriscus-Elrathina fauna in lower unit in Leadpoint district.  Phosphatic brachiopods in upper unit in Leadpoint district tentatively assigned to Middle and Upper Cambrian.",Metaline Formation; Clugston Creek limestone (in part); Northport Limestone; Old Dominion Limestone (in part),"This unit includes Devonian Limestone as mapped by Park and Cannon (1943), though they make the disclaimer that the outcrop may actually be Cambrian.Even though the source description reports that most of this unit is dolomite, referenced sources for listed stratigraphic units report that limestone with dolomitization is most prevalent in some localities.  Mapped as metasedimentary (metalimestone, metadolostone, meta-argillite, and metasiltite) by Stoffel and others, 1991.Stoffel and others, 1991, report that while the term ""Old Dominion limestone"" was once widely used, it has since been abandoned.",WA001,limestone,dolostone (dolomite),shale; marble; phyllite; conglomerate; sedimentary breccia; argillite,WA001WA018WA019WA023WA073
WA,Cph,CAph,CAph;0,WACAph;0,0,,Cambrian phyllite,Cambrian,"Predominantly gray-green, banded phyllite, some sericite schist, abundant thin beds of quartzite, especially in lower part of unit, and limestone in upper part; northern Pend Oreille County.  Much the same lithology but more conspicuous subunits of quartzite, limestone, and schist in northeastern Stevens County.  Gray phyllite, greenish argillite, andalusite schist, minor inerbedded quartzite and siliceous dolomite, especially in lower part, and much gray limestone in upper part; north-central Stevens County.  Limestone bed in lower part of unit contains Lower Cambrian fossils (Archaeocyathus).",Maitlen Phyllite; Colville Quartzite (in part); Clugston limestone (in part); Chewelah argillite (in part); Monk Formation (Mills 1985),,WA001,phyllite,quartzite      ,limestone; schist; marble; argillite; dolostone (dolomite),WA001WA018WA023WA028
WA,Cq,CAq,CAq;0,WACAq;0,0,,Cambrian quartzite,Cambrian,"Gritstone with conglomerate in lower part and gray, white, and buff platy quartzite in upper part grading upward into phyllite; northern Pend Oreille County.  Light-gray, platy, medium- to thick-bedded quartzite in upper part and darker impure quartzite with some interbedded argillite or phyllite in lower part; north-central Stevens County.  White, gray, and reddish, medium- to thick-bedded quartzite in lower part and thin interbeds of quartzite and argillite in upper part, with very low Lower Cambrian fossils (Nevadia, Hyolthellus, and three genera of brachipods) near base of upper part; Addy district of central Stevens County.  Thick argillite and thin quartzite units form an uppermost zone in southwestern Stevens County.  Conspicuous phyllite units near base in north-central Lincoln County.","Addy Quartzite, Colville Quartzite, Gypsy Quartzite",,WA001,quartzite,sandstone,conglomerate; phyllite; schist; slate; argillite,WA001WA018WA019WA023
WA,PMPm,CP,CP;0,WACP;0,0,,Carboniferous-Permian sedimentary and volcanic rocks,Devonian to Permian; some Jurassic,"Sedimentary and volcanic rocks, undivided.  Cherty and slaty argillite, siltstone, graywacke, chert, greenstone, tuff, andesite, and spilitic volcanics.",Chilliwack Formation (in part); Cultus Formation (in part); Hozomeen Group (in part); Bell Pass melange (in part),"Dragovich and others, 2002, reports that this unit is mostly metamorphosed sedimentary rocks of the types listed above.",WA001,graywacke,siltstone,greenstone; phyllite; chert; argillite; arkose; shale; andesite; spilite; limestone; marble; quartzite; slate; conglomerate,WA001WA039WA075WA080WA086
WA,PMPms,CPs,CPs;0,WACPs;0,0,,Carboniferous-Permian sedimentary and volcanic rocks,"Devonian to Permian, minor Mesozoic","Predominantly sedimentary rocks.  Graywacke, argillite, and slate; includes minor marble, siltstone, arkose, conglomerate, ribbon cherts, and volcanic rocks.  Some Devonian rocks may be included in northwestern Washington.",Chilliwack Formation (in part); Cultus Formation (in part); Nooksack Group,"Dragovich and others, 2002, reports that this unit is mostly metamorphosed sedimentary rocks of the types listed above.  Both the Cultus Formation and the Nooksack Formation have ""flysch-like aspects"", representing marine accumulation, likely in deep water (Misch, 1966).",WA001,graywacke,argillite,slate; shale; marble; arkose; quartzite; phyllite; conglomerate; chert; volcanic rock (aphanitic); siltstone; limestone,WA001WA039WA075WA080WA086
WA,PMPmv,CPv,CPv;0,WACPv;0,0,,Carboniferous and Permian volcanic rocks,Devonian to Permian; Triassic in Asotin County,"Predominantly altered andesite, basalt, and diabase with interbedded chert and argillite; includes some tuff, greenstone, and spilitic volcanic rocks; northern Cascade Mountains.  Mostly schistose greenstone, some agglomerate, and rarely lapilli; includes minor beds of limestone with associated argillite and graywacke; northwestern Stevens County.",Doyle Creek Formation; Wild Sheep Creek Formation; Coon Hollow Formation; Hozomeen Group (in part); Chilliwack Group (in part),"Doyle Creek Formation, Wild Sheep Creek Formation and Coon Hollow Formation located in southeastern Asotin County; this area also includes a small outcrop of unmetamorphosed to slightly metamorphosed granodiorite, quartz diorite, and gabbro (Schuster and others, 1997) and is consolidated under ""plutonic"" in the lithology coding along with possible gabbro and diorite in the Chilliwack Group.  ",WA001,greenstone,andesite,chert; argillite; basalt; limestone; graywacke; keratophyre; black shale; conglomerate; plutonic rock (phaneritic),WA001WA005WA027WA039WA071WA075WA080
WA,D,D,D;0,WAD;0,0,,Devonian rocks,Devonian to Permian,"Thin alternating beds of cherty quartzite and argillite, occasional limestone lenses, volcanic rocks, sandstone, and graywacke on northwest shore of Orcas Island.  Small outcrops of Devonian limestone included under Pzu in southeastern Stevens County and under PMPms in northwestern Whatcom County.",East Sound Group (in part),"Brandon and others, 1988, maps this as the East Sound Group (see also WAPM), which is primarily andesitic to dacitic pyroclastic rocks, with rare lava flows, as well as minor limestone; he specifically distinguishes this rock group from the Deadman Bay Terrane which includes chert as well as basalt and limestone.  May include incidental Turtleback Complex (see WApPMg and WApTm).",WA001,andesite,dacite,limestone,WA001WA029WA078
WA,E1,EO1,EO1;0,WAEO1;0,0,,Upper upper Eocene nonmarine and marine rocks,Middle Eocene,"Massive to thin-bedded, feldspathic to arkosic sandstone, siltstone, shale, and carbonaceous shale; becomes mostly marine in the western foothills of Cascade Mountains where coal beds are abundant.  Basaltic sandstone and siltstone in northern Olympic Peninsula.","Cowlitz formation (in part: Olequa Creek member); Puget group (Tiger Mountain, Tukwila, and Renton Formations); Skookumchuck formation; Aldwall Formation; McIntosh Formation (in part); Lincoln Formation (in part)",WAE1 is sometimes undifferentiated from WAE2 in the literature.,WA001,sandstone,siltstone,shale; coal; conglomerate; olistostrome; mafic volcanic rock,WA001WA007WA012WA045WA046WA050WA056WA062WA063WA066
WA,E2,EO2,EO2;0,WAEO2;0,0,,Lower upper Eocene marine and nonmarine rocks,Eocene,Predominantly massive to well-bedded tuffaceous marine siltstone with interbedded arkosic and basaltic sandstone.  Includes conglomerate in King County and along north side of Olympic Peninsula.  Minor lava flows and breccia in western Lewis County and eastern Grays Harbor County.  Coal seams in central Lewis County and north-central Pierce County.,Cowlitz formation (in part: Stillwater member); Lyre Formation (including Cape Flattery breccia); McIntosh Formation (in part),"WAE2 is sometimes undifferentiated from WAE1 in the literature.  McIntosh Formation is 500-3500 ft thick (Wagner, 1967a, b).",WA001,sandstone,siltstone,conglomerate; lava flow; volcanic breccia (agglomerate); tuff; claystone; shale; coal; sedimentary breccia; olistostrome,WA001WA007WA045WA046WA048WA049WA052WA056WA062
WA,Ec,EOc,EOc;0,WAEOc;0,0,,Eocene nonmarine rocks,Eocene,Predominantly sandstone and shale.  Includes some conglomerate in the Cle Elum area in Kittilas County.  Contains extensive coal seams near Roslyn and carbonaceous shale and coal beds in White Pass area.  Contains tuff beds in northwestern Ferry County.,Manastash Formation; Naches Formation; Roslyn Formation; O'Brien Creek Formation (in part),"Naches Formation is mostly basaltic and rhyolitic volcanic rock with minor andesitic rock and interbedded sedimentary rock (feldspathic sandstone) (Tabor and others, 1993, Stout, 1964). The thickness of the Naches Formation is 8000-10000+ feet thick (Stout, 1964).",WA001,arkose,siltstone,basalt; rhyolite; andesite; argillite; tuff; shale; conglomerate; coal,WA001WA022WA040WA043WA059WA061
WA,EOLv,EOOGv,EOOGv;0,WAEOOGv;0,0,,Eocene-Oligocene volcanic rocks,Eocene-Oligocene,"Predominantly light-green, bedded andesite breccia with interbedded andesite and basalt flows, mudflows, and tuff beds; becomes more tuffaceous near top of unit.  Includes tuffaceous and arkosic sandstone, shale, and carbonaceous shale beds in central and southern Cascade Mountians.  Rhyodacite and quartz latite flows in northwestern Ferry County.",Enumclaw; Keechelus andesite (lower part); Sanpoil volcanics,"Percentage of dacite thought to be andesite in the field; predominate over basaltic and rhyolitic rock (Warren, 1941). Large flows in Ferry County mostly dacite and andesite (Stoffel and others, 1991).",WA001,andesite,dacite,basalt; mudflow; tuff; arkose; shale; rhyodacite; quartz latite,WA001WA011WA013WA014WA021WA022WA023
WA,Ev,EOv,EOv;0,WAEOv;0,0,,Eocene volcanic rocks,Eocene ,Predominantly andesite flows and breccia; includes interbedded sedimentary rocks south of Startup in Snohomish and King Counties.,,"Luedke, 1998, indicates that some of this unit is basaltic; Tabor and others, 1993, reports that this unit is mostly andesite flows, tuff, porphyry and breccia with minor dacite, dacite breccia, and basalt, and minor volcaniclastic sandstone, conglomerate, and siltstone; Smith, 1993, reports that this unit is all Eocene andesite.  Dragovich and others, 2002, reports that this unit is mostly andesite but includes basalt and dacite flow, breccia, and tuff with interbedded sandstone, conglomerate, and argillite.  ",WA001,andesite,basalt,dacite; sandstone; conglomerate; siltstone; argillite,WA001WA011WA043WA044WA075
