#sourcecode,latnad27,lonnad27,elevngvd29m,obsgrvless976000mg,itc,otc,faanom,cbanom267,latnad83,lonnad83,elevngvd88m
4506 ngs,47.223999,-123.4975,124.4,4763.9,0,0.21,-17.91,-31.81,47.2238129,-123.498774,125.44
22670094,47.332169,-123.496,243.5,4783.31,3.08,4.52,28.47,8.47,47.3319815,-123.4972763,244.57
2267 ngs,47.332169,-123.49583,243.5,4783.3,3.32,4.52,28.46,8.7,47.3319815,-123.4971063,244.57
22670093,47.308334,-123.495,201.8,4782.08,0.53,1.61,16.53,-4.21,47.3081468,-123.4962756,202.86
2267 ngs,47.308334,-123.49483,201.8,4782.1,0.56,1.62,16.55,-4.15,47.3081468,-123.4961056,202.86
4506 ngs,48.054001,-123.49384,393.9,4798,0.79,5.13,24.46,-14.23,48.0538132,-123.4951382,394.98
22670066,47.067333,-123.4935,26.8,4789.56,0.58,0.09,-8.21,-10.58,47.0671497,-123.494773,27.83
2267 ngs,47.067333,-123.49333,26.8,4789.6,0.57,0.09,-8.17,-10.55,47.0671497,-123.494603,27.83
22670068,47.151669,-123.488,71.9,4784.35,0.23,0.09,-7.12,-14.96,47.1514841,-123.4892733,72.93
2267 ngs,47.151669,-123.48783,71.9,4784.4,0.26,0.09,-7.07,-14.88,47.1514841,-123.4891033,72.93
2267 ngs,47.899834,-123.48634,380.7,4703.6,5.34,20.86,-60.12,-77.05,47.8996457,-123.4876346,381.88
22671982,47.900002,-123.48634,380.7,4703.6,5.18,20.83,-60.14,-77.25,47.8998137,-123.4876346,381.88
4506 ngs,47.101002,-123.48566,54.8,4789.6,0.03,0.02,-2.57,-8.74,47.100818,-123.4869329,55.82
22670053,47.106335,-123.485,58.5,4789.64,0.07,0.02,-1.87,-8.42,47.1061509,-123.4862729,59.52
2267 ngs,47.106335,-123.48483,58.5,4789.6,0.07,0.02,-1.91,-8.46,47.1061509,-123.4861029,59.52
2267 ngs,48.114166,-123.47833,91.4,4847.71,0.02,1.72,-24.53,-33.15,48.1139782,-123.4796281,92.48
22670012,48.114166,-123.47833,91.4,4847.72,0.02,1.72,-24.52,-33.14,48.1139782,-123.4796281,92.48
22671983,47.890835,-123.478,436.2,4695.64,3.37,18.44,-50.16,-77.75,47.8906468,-123.479294,437.39
2267 ngs,47.890835,-123.47784,436.2,4695.6,3.57,18.46,-50.2,-77.57,47.8906468,-123.479134,437.39
5198 ngs,48.022335,-123.47684,746.6,4713,5.46,10.49,51.07,-17.46,48.0221474,-123.4781376,747.73
3544 ngs,47.228333,-123.47667,114.9,4765.5,0.03,0.23,-19.63,-32.4,47.2281466,-123.4779433,115.94
35440000,47.228333,-123.47667,114.9,4765.51,0.03,0.23,-19.62,-32.39,47.2281466,-123.4779433,115.94
2267 ngs,47.227833,-123.47366,114.6,4765.71,0.03,0.23,-19.47,-32.2,47.2276466,-123.4749332,115.64
22670071,47.227833,-123.47366,114.6,4765.66,0.03,0.23,-19.52,-32.25,47.2276466,-123.4749332,115.64
22671997,47.615002,-123.473,359.4,4683.58,3.07,16.6,-61.04,-82.08,47.6148128,-123.4742844,360.6
2267 ngs,47.614834,-123.47283,359.4,4683.6,3.09,16.49,-61,-82.14,47.6146448,-123.4741144,360.6
5198 ngs,47.553333,-123.47083,1561.2,4445.6,9.61,20.74,77.06,-68.79,47.5531439,-123.4721121,1562.4
51980105,47.553501,-123.47083,1561.2,4445.6,9.3,20.72,77.04,-69.13,47.5533119,-123.4721121,1562.4
2267 ngs,47.879833,-123.47066,421.8,4694.6,3.16,19.36,-54.65,-79.9,47.8796448,-123.4719535,423
22671984,47.880001,-123.47066,421.8,4694.61,3.23,19.37,-54.65,-79.82,47.8798128,-123.4719535,423
2267 ngs,47.856667,-123.46817,442.3,4686.3,2.91,17.05,-54.54,-84.67,47.8564786,-123.4694627,443.5
22671985,47.856667,-123.46817,442.3,4686.26,2.91,17.05,-54.58,-84.71,47.8564786,-123.4694627,443.5
22670098,47.264,-123.4675,143.3,4761.92,0.62,0.53,-17.67,-32.77,47.2638135,-123.4687736,144.35
2267 ngs,47.263832,-123.46733,143.3,4761.9,0.59,0.53,-17.68,-32.8,47.2636455,-123.4686036,144.35
2267 ngs,48.091667,-123.46667,172.2,4834.21,0.25,2.75,-11.09,-27.61,48.0914793,-123.4679677,173.27
