sourcecode,latnad27,lonnad27,elevngvd29m,obsgrvless976000mg,itc,otc,faanom,cbanom267,latnad83,lonnad83,elevngvd88m
6755Q106,44.951168,-111.5,3084.5,3773.67,8.46,16.9,109.8,-211.29,44.9510944,-111.5007957,3085.98
46870231,44.236,-111.49966,1900.4,3987.79,0.2,0.3,23.82,-189.93,44.2359147,-111.5004509,1901.59
46870368,44.464668,-111.49966,1973.8,3994.53,0.54,0.82,32.48,-188.63,44.4645861,-111.5004524,1975.03
2150 ngs,44.797165,-111.49883,1925.4,4015.1,0.01,1.74,8.04,-207.26,44.7970886,-111.4996246,1926.6
21500612,44.797165,-111.49883,1925.4,4015.07,0.01,1.74,8.01,-207.29,44.7970886,-111.4996246,1926.6
58785113,44.916832,-111.49866,3058.1,3775.6,10.05,20.1,106.71,-206.66,44.9167578,-111.4994554,3059.56
4687 ngs,44.042332,-111.498,1594.1,4045.69,0,-0.11,4.83,-175.17,44.0422456,-111.4987899,1595.17
2150 ngs,44.835335,-111.49783,1881.8,4019.21,0.03,4.22,-4.74,-212.66,44.8352593,-111.4986248,1883.04
21500636,44.835499,-111.49783,1881.8,4019.23,0.03,4.25,-4.73,-212.62,44.8354233,-111.4986248,1883.04
6755Q109,44.916832,-111.49783,3059.8,3776.5,10.42,19.74,108.13,-205.42,44.9167578,-111.4986253,3061.26
5938 ngs,44.709,-111.497,2105.9,3989.67,0.4,1.15,46.22,-189.5,44.7089221,-111.4977939,2107.14
46870447,44.014668,-111.49667,1588,4041.62,0,-0.11,1.39,-177.93,44.0145814,-111.4974598,1589.08
46870446,44.028,-111.49667,1583.1,4044.39,0.02,-0.12,1.44,-177.31,44.0279135,-111.4974598,1584.18
46870241,44.288834,-111.49567,1897.3,3992.35,0.07,0.19,22.64,-191,44.2887495,-111.4964611,1898.48
46870331,44.330666,-111.49567,1873.6,3995.28,0.66,0.6,14.48,-195.51,44.3305821,-111.4964614,1874.8
46870276,44.057167,-111.4955,1582.8,4048.37,0,-0.08,2.69,-176.01,44.0570807,-111.4962899,1583.87
46870229,44.216499,-111.49533,1905.6,3983.94,0.42,0.31,23.33,-190.77,44.2164137,-111.4961207,1906.79
6755Q176,44.974499,-111.494,2840.7,3845.94,1.7,6.75,104.85,-206.01,44.9744259,-111.4947956,2842.21
46870230,44.227833,-111.49284,1896.7,3987.74,0.37,0.26,23.36,-189.84,44.2277478,-111.4936306,1897.88
46870433,44.090832,-111.492,1585.8,4049.98,0.02,0,2.18,-176.76,44.0907459,-111.49279,1586.88
46871035,44.187168,-111.49117,1915.9,3980.33,0.24,0.36,25.55,-189.84,44.1870826,-111.4919604,1917.08
46870149,44.204334,-111.491,1893.4,3985.71,0.27,0.26,22.44,-190.49,44.2042487,-111.4917905,1894.59
5938 ngs,44.716,-111.491,2142.7,3979.55,0.18,1.19,46.8,-193.21,44.7159224,-111.4917937,2143.95
6755Q110,44.888332,-111.4905,3078.4,3768.58,6.45,20.91,108.52,-209.9,44.8882574,-111.4912948,3079.81
4687 ngs,44.263668,-111.4895,1912.6,3989,0.03,0.16,26.28,-189.15,44.2635831,-111.4902907,1913.78
46870442,44.004166,-111.48867,1602.6,4038.18,0.08,-0.11,3.4,-177.48,44.0040794,-111.4894595,1603.68
6755Q357,44.8335,-111.48817,1886.7,4019.36,0.06,4.85,-2.91,-210.72,44.8334244,-111.4889643,1887.95
5873  70,44.604168,-111.48783,2051.3,3996.05,0.18,2.69,45.26,-183.02,44.6040886,-111.4886228,2052.58
5873  95,44.434666,-111.48766,1949.5,3994.33,0.08,0.3,27.51,-191.86,44.4345839,-111.4884517,1950.71
46870892,44.605,-111.48766,2051,3996.06,0.22,2.66,45.1,-183.14,44.6049206,-111.4884528,2052.28
4687 ngs,44.434834,-111.4875,1949.5,3994.67,0.11,0.3,27.83,-191.51,44.4347519,-111.4882917,1950.71
6755Q111,44.857502,-111.48734,2505.4,3890.86,4.78,9.22,57.07,-210.86,44.8574269,-111.4881345,2506.7
5938 ngs,44.833,-111.487,1883.7,4019.79,0.1,4.93,-3.36,-210.71,44.8329244,-111.4877943,1884.95
46870273,44.071499,-111.4855,1592.2,4049.28,0.02,-0.07,5.2,-174.53,44.0714129,-111.4862897,1593.28
46870953,44.506668,-111.48483,2282.9,3937.1,0.31,2.36,66.51,-187.89,44.506587,-111.485622,2284.19
46870228,44.248833,-111.48434,1908.9,3988.96,0.17,0.14,26.44,-188.45,44.2487481,-111.4851304,1910.07
46870367,44.468498,-111.48417,1979.3,3994.01,0.26,0.89,33.31,-188.63,44.4684166,-111.4849618,1980.53
5873 ngs,44.468498,-111.484,1979.3,3993.24,0.28,0.89,32.54,-189.38,44.4684166,-111.4847918,1980.53
4687 ngs,44.198833,-111.4815,1887.3,3986.47,0.05,0.23,21.82,-190.68,44.1987478,-111.4822901,1888.48
46870330,44.322166,-111.48133,1872.3,3997.25,0.16,0.24,16.82,-193.88,44.3220822,-111.4821208,1873.48
5938  35,44.814999,-111.479,1906.5,4010.17,0.04,2.88,-4.33,-216.34,44.8149232,-111.4797938,1907.73
46870468,44.013332,-111.47784,1613.3,4035.03,0.21,-0.1,2.72,-179.22,44.0132455,-111.4786291,1614.38
46870437,44.028,-111.47784,1600.8,4040.08,0,-0.11,2.59,-178.17,44.0279136,-111.4786292,1601.88
4687 ngs,44.041332,-111.47784,1598.9,4043.33,0.01,-0.11,4.04,-176.49,44.0412457,-111.4786293,1599.98
6755Q107,44.947334,-111.47767,2956.5,3821.3,0.75,7.76,118.35,-205.35,44.9472607,-111.4784647,2958
46870435,44.056999,-111.47767,1593.1,4046.19,0.01,-0.09,3.7,-176.16,44.0569128,-111.4784593,1594.17
5873  69,44.608334,-111.47767,2034.5,3997.9,1.33,2.65,41.56,-183.74,44.6082548,-111.4784624,2035.77
6755Q177,44.968502,-111.47667,3054.1,3797.79,0.72,8.29,122.99,-211.08,44.9684292,-111.4774648,3055.62
6755Q179,44.996166,-111.47667,2633.4,3882.78,1.7,7.45,75.87,-211.19,44.9960937,-111.477465,2634.94
3498 ngs,44.723167,-111.47667,2049.7,3994.3,0.29,2.23,32.25,-196.21,44.7230899,-111.4774631,2050.95
3498  SE,44.723167,-111.47667,2049.7,3994.33,0.29,2.23,32.28,-196.18,44.7230899,-111.4774631,2050.95
46870396,44.3615,-111.4755,1879.7,3996.69,0.03,0.28,14.98,-196.64,44.361417,-111.4762908,1880.9
4687 ngs,44.259834,-111.47533,1912.9,3990.01,0.02,0.14,27.73,-187.76,44.2597493,-111.4761202,1914.07
46870998,44.289001,-111.47533,1876,3999.4,0.05,0.13,23.11,-188.22,44.2889168,-111.4761203,1877.17
46870432,44.089668,-111.47533,1587.4,4050.44,0.02,0,3.24,-175.88,44.0895821,-111.4761194,1588.48
46870990,44.097,-111.47533,1577.3,4051.28,0.01,0.08,0.3,-177.61,44.0969141,-111.4761194,1578.38
35781973,44.833332,-111.475,1883.7,4018.66,1.3,7.05,-4.52,-208.55,44.8332566,-111.4757938,1884.96
3578 ngs,44.833332,-111.47483,1883.7,4018.71,1.34,7.09,-4.47,-208.42,44.8332566,-111.4756238,1884.96
46870084,44.107834,-111.47467,1577.3,4046.85,0.02,0.18,-5.11,-182.91,44.1077482,-111.4754595,1578.39
5938 ngs,44.785,-111.474,1986.7,4004.99,0.05,2,17.92,-203.94,44.7849237,-111.4747934,1987.92
46870147,44.195667,-111.472,1883.9,3987.33,0.08,0.21,21.92,-190.19,44.1955819,-111.4727897,1885.08
3498 ngs,44.743168,-111.47183,2031.8,3993.4,0.07,2.35,24.02,-202.53,44.7430914,-111.472623,2033.06
3498  SE,44.743168,-111.47183,2031.8,3993.41,0.07,2.35,24.03,-202.52,44.7430914,-111.472623,2033.06
3498  SE,44.723335,-111.4715,2063.8,3991.1,0.06,2.32,33.38,-196.8,44.723258,-111.4722928,2065.05
46870366,44.467167,-111.47134,1962.9,3997.4,0.5,0.87,31.77,-188.12,44.4670859,-111.4721312,1964.13
3498 ngs,44.723335,-111.47134,2063.8,3991.1,0.07,2.34,33.38,-196.77,44.723258,-111.4721328,2065.05
5938 ngs,44.723,-111.471,2065.6,3990.66,0.07,2.36,33.52,-196.8,44.722923,-111.4717928,2066.85
2150 ngs,44.767166,-111.47083,2019.9,3998.6,0.22,2,23.38,-202.04,44.7670894,-111.4716231,2021.14
21500635,44.767166,-111.47083,2019.9,3998.6,0.22,2,23.38,-202.04,44.7670894,-111.4716231,2021.14
6755Q108,44.927002,-111.47066,2938.2,3821.66,2.22,8.07,114.91,-204.97,44.9269285,-111.4714543,2939.69
46870101,44.238667,-111.4705,1880,3994.42,0.11,0.13,23.92,-187.81,44.2385822,-111.4712899,1881.17
764A092,44.711666,-111.47,2081.2,3987.67,0.25,2.04,36.36,-195.85,44.7115889,-111.4707927,2082.45
764 ngs,44.711666,-111.46983,2081.2,3987.71,0.26,2.06,36.4,-195.78,44.7115889,-111.4706227,2082.45
5873  94,44.450169,-111.46933,1932.4,3999.1,0.28,0.52,25.61,-191.43,44.4500877,-111.470121,1933.61
46870360,44.450169,-111.46917,1932.4,3999.64,0.29,0.52,26.15,-190.88,44.4500877,-111.469961,1933.61
5177 ngs,44.267166,-111.46883,1885.2,3996.9,0.04,0.11,25.42,-186.98,44.2670815,-111.46962,1886.36
51771080,44.267166,-111.46883,1885.2,3996.86,0.04,0.11,25.38,-187.02,44.2670815,-111.46962,1886.36
46870223,44.267502,-111.46883,1884.8,3996.75,0.04,0.11,25.12,-187.23,44.2674175,-111.46962,1885.96
46870441,44.005501,-111.4685,1616.9,4032.98,0.2,-0.1,2.48,-179.87,44.0054144,-111.4692888,1617.99
3498 ngs,44.711334,-111.46833,2083.6,3986.8,0.27,2.14,36.26,-196.09,44.7112569,-111.4691226,2084.85
